population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1995,406.09648343756,464.96133139564,347.75947135616997
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,2002,0.0039524594641972,0.004513460991053,0.0033939176853027
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2002,394.01668084503996,449.77383353643995,338.43233351351
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,2007,0.0066954662380483,0.0076010783477779,0.0057313346036638
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2007,650.3604369742,739.05435218284,557.53657054814
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1999,0.0067118525520422,0.0076226061229132,0.0057701587334373
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1999,654.36921769777,743.61810341977,563.17479678601
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,2003,0.003942566592396,0.0045040206628773,0.003385737990441
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2003,392.90653548354,448.76565172252,337.51406081747
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,2004,0.0039346914992669,0.0044921188705886,0.0033793317850269
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2004,391.99257032732004,447.35078738471003,336.77076896746996
