population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2009,25.052140209676047,62.93772002954027,6.135870544848551
1,All Population,1,Deaths,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2015,18.705279308558175,50.77269350432414,4.2098785021811205
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2009,18.664814672123487,48.288656951875566,4.347745457074835
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2010,25.087795104681128,62.945156795258804,6.1709386961242405
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2010,18.840603223272844,48.98205575374125,4.35402813526898
1,All Population,1,Deaths,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2016,18.991039399779197,51.4743405145323,4.302455322148367
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2011,25.00926811885114,62.37297695927769,6.181325675296348
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2011,18.846316546007618,49.6462648673576,4.313057062062153
1,All Population,1,Deaths,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2017,19.214864186930626,52.076953398635744,4.392688522034995
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2012,25.024184679499875,62.17973809461349,6.181915132994142
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2012,18.822186500650474,50.32046478194064,4.270358681396324
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2013,24.94576705974816,61.690891656763334,6.191069404051112
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2013,19.274703198579402,51.73893221574087,4.308392479063912
1,All Population,1,Deaths,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2018,19.530906476258508,52.508398330167594,4.509499213586588
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2014,25.006569951850693,61.855232490383024,6.225898877347205
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2014,19.18679329529174,51.79517272131251,4.283299233061991
